鶴　童：我們是聽奉仙翁的指令，來此守護這座山林。我擔心會有妖魔鬼怪前來破壞，不如現在我們先去巡邏一遍吧!\n,鶴　童：我們是聽奉仙翁的指令，來此守護這座山林。我擔心會有妖魔鬼怪前來破壞，不如現在我們先去巡邏一遍吧!\n鹿童：去吧。\n鶴童、鹿童：我們的寶劍閃著寒光，只為了守護清淨的壇場，不讓妖魔鬼怪擅自闖入。\n白素貞穿好衣服、配戴著刀劍來到仙山上。\n白素貞：我必須要做這件事情，我沒有選擇，真後悔當初沒有聽青兒的話，端午節的時候太不小心，喝了太多酒。現在只好先請青兒幫忙照顧許仙，我如果沒有採到靈芝，絕對不回去，現在只好鼓起勇氣來到這座仙山。\n白素貞：呀！山門的神將看起來好威嚴！只好從後面的山坡進去看看了。\n鹿童追上，舉起劍阻擋白素貞。\n鹿童：大膽妖魔，來這座山做什麼。\n白素貞：求您勿動手，請聽我向您訴說，我很久以前本來是一個平凡的女子，後來修煉成仙，因為好奇人間的模樣，所以下凡去看看，在江南認識了許仙，與他結為夫妻，但是他不幸生了場大病，所以我來採一些靈芝回去，希望能救他的性命。\n鹿童：靈芝是神仙在用的，怎麼可以輕易送往人間！\n白素貞：神仙應該慈悲為懷，應該替人間的百姓化解困難。\n鹿童：我勸妳不要花言巧語狡辯，準備死在我的寶劍之下吧。\n白素貞：如果能拿到起死回生的藥草，要我死再多次我也沒關係。\n鹿童：我勸你還是快點離開吧。\n鹿童舉起寶劍刺向白素貞，白素貞用手擋住劍。\n白素貞：既然你執意要動手，那就請你原諒我的無禮吧。\n白素貞和鹿童打了起來。鶴童接著攻擊白素貞。\n鶴　童：妖女去死吧！\n這時，南極仙翁帶著二個仙童衝上去。\n南極仙翁：鶴童住手！啊，白素貞妳真大膽，敢來仙山偷採草藥！\n
白素貞：肚子痛，連走路都有困難，怎麼辦？ \n,白素貞：肚子痛，連走路都有困難，怎麼辦？ \n小 青：應該是快要生小孩了，先暫時到前面的那座橋旁邊，稍微休息一下，再來想想辦法吧。 \n白素貞：事情到了今日的地步，只好這樣了。 \n白素貞：妹妹，這不是斷橋嗎？ \n小 青：是啊！ \n白素貞：哎呀！斷橋啊！從前和許郎在雨中見面，也曾經經過這座橋，直到現在這座橋都沒有斷掉，可是我卻是柔腸寸斷了！     \n小 青：這種負心的人，小青很早就勸告姐姐要拋棄他，姐姐不接受。現在卻害姐姐在懷孕的時候，生活困難，沒有安身的地方，我如果再見到許仙，一定不會饒他！ \n白素貞：姐姐也是非常埋怨痛恨許郎沒有情意，但是仔細地想一想，這件事也是要怪法海挑撥離間，所以才會這樣。 \n小 青：雖然法海不好，也是許仙不應該忘記從前的情誼，相信他的挑撥。 \n白素貞：許郎懷疑害怕我，也是一般的情理，還是那個法海不好。 \n小 青：到了今天，你還是這樣偏袒他，你受的苦還不夠多嗎，姐姐？ \n許 仙：呀！老婆！ \n白素貞：老公！ \n小 青：許仙！你來得剛好！ \n白素貞：青兒！青兒！ \n小 青：往哪裡跑！ \n白素貞：青兒不可以！青兒不可以！ \n許 仙：老婆救命，老婆救命哪！ \n白素貞：幹什麼，你、你、你、你今天也要讓我救你嗎？你、你、你。 \n許 仙：老婆！\n
鹿童追上，舉起劍阻擋白素貞。\n,鹿童追上，舉起劍阻擋白素貞。\n鹿童：大膽妖魔，來這座山做什麼。\n白素貞：求您勿動手，請聽我向您訴說，我很久以前本來是一個平凡的女子，後來修煉成仙，因為好奇人間的模樣，所以下凡去看看，在江南認識了許仙，與他結為夫妻，但是他不幸生了場大病，所以我來採一些靈芝回去，希望能救他的性命。\n鹿童：靈芝是神仙在用的，怎麼可以輕易送往人間！\n白素貞：神仙應該慈悲為懷，應該替人間的百姓化解困難。\n鹿童：我勸妳不要花言巧語狡辯，準備死在我的寶劍之下吧。\n白素貞：如果能拿到起死回生的藥草，要我死再多次我也沒關係。\n鹿童：我勸你還是快點離開吧。\n鹿童舉起寶劍刺向白素貞，白素貞用手擋住劍。\n白素貞：既然你執意要動手，那就請你原諒我的無禮吧。\n白素貞和鹿童打了起來。鶴童接著攻擊白素貞。\n鶴　童：妖女去死吧！\n這時，南極仙翁帶著二個仙童衝上去。\n南極仙翁：鶴童住手！啊，白素貞妳真大膽，敢來仙山偷採草藥！\n白素貞：哎呀仙翁啊！我死了就算了，可是我苦命的許仙，就沒辦法起死回生了！\n南極仙翁：白素貞，看在妳這麼癡情的份上，又懷有身孕，這次先放過妳，把靈芝帶回家，可以救活妳的丈夫。下山去吧！\n白素貞：謝謝仙翁！我終於拿到了靈芝，想起這驚險的過程眼淚還流個不停，本來差點連命都沒有了。還是跟仙翁道別後趕緊回家吧，一定要把我的丈夫救活啊。\n白素貞離開仙山。\n鹿　童：喂。\n南極仙翁：誰都不要阻攔她！所有人都不准。\n
白素貞：也好。\n,白素貞：也好。\n許　仙：柳樹下怎麼能避雨呢？二位娘子要往哪裡去？\n小　青：我們二人在湖中遊逛，沒想到中途遇到大雨。我們準備要回錢塘門去，請問君子您要去哪兒呢？\n許　仙：我要到清波門去。雨這麼大，柳樹下怎能避得了雨？我這把雨傘就借給你們吧。\n白素貞：那你怎麼辦呢？\n許　仙：我嗎？我不要緊的。\n白素貞：這怎麼可以？\n許　仙：雨越下越大，兩位娘子不要推辭，我去叫船。\n白素貞：好吧，謝謝您！\n許　仙：這沒什麼。\n（船夫划船靠近。） \n許　仙：喂，船家！ \n船　夫：客人要搭船嗎？\n許　仙：正是。\n船　夫：你們要去哪兒啊？\n許　仙：先送二位娘子到錢塘門，再送我到清波門，多給你船錢就是了。\n船　夫：好的，你們快上船吧。\n許　仙：請搭扶手慢慢走。\n船　夫：船板很滑，二位娘子請小心。\n白素貞：青兒扶著我，別擔心。\n
小　青：哎呀！怎麼又下雨了！\n,小　青：哎呀！怎麼又下雨了！\n白素貞：是啊，又下雨了，怎麼辦？\n小　青：真是的，這傘……。\n許　仙：不要緊，雨傘先拿去用吧，我改天再來取。\n白素貞：多謝！君子，明日一定要來唷。\n許　仙：明日一定去拜訪。小姐慢走。\n白素貞：失陪了，君子。\n（白素貞優雅地行禮之後，和小青一同下船。）\n許　仙：真是一位美女！哎呀，忘了問她姓名了！小娘子等等！\n（小青轉身。）\n小　青：什麼事啊？莫非是要拿回傘？\n許　仙：不是，不是。請問你家小姐她姓什麼呀？ \n小　青：我家小姐她姓白。 \n許　仙：原來是白小姐。你們可知道我姓什麼？\n小　青：你姓許，對不對？\n許　仙：我正是姓許，你是怎麼知道的？ \n（小青微笑。） \n小　青：你那把雨傘上不是有大大的「許」字嗎？君子，明天請早點兒來， 免得我們小姐久候啊！\n許　仙：那當然。小娘子慢走！\n小　青：失陪了！\n
小青走進閨房，對著白素貞說：\n,小青走進閨房，對著白素貞說：\n姐姐，今天已經是端午節了，端午對我們蛇類來說是很危險的日子，我們最好找個理由避避鋒頭。\n白素貞：話雖如此，但我平常與許仙形影不離，現在要是突然不見，豈不更加可疑？看來我只好托病在床，至於妳，等會兒想個理由出門，到附近山中躲避一陣子再回來。\n小青：可是姐姐妳獨自在家真的安全嗎？不行，我不放心姐姐啊！\n遠遠傳來許仙的腳步聲， 許仙拿著一壼酒，推門進來：\n許仙：娘子起來了嗎？娘子！ \n白素貞：我起來了。 你吃過飯了嗎？　　　　\n許仙：在外面吃過了，剛才茶館一夥朋友共賀端午佳節，吃飯喝酒，十分暢快。平常我們夫妻倆，無論是在家出門，總是形影不離，今天端午佳節，偏偏妳身體不適，我只好一人赴約，那些朋友們聽說妳病了，都很關心，一直問侯妳，而且派我拿酒回來家裡，代替他們好好敬妳幾杯雄黃酒。來來來，我先乾了。\n許仙自己先喝乾一杯酒。 \n白素貞：我今天很不舒服，不想飲酒，你就代我謝謝他們吧。 \n許　仙：娘子平常酒量就好，今日又是端午佳節，你我夫妻二人，怎能不大醉一場呢？ \n小　青：今日怎能比得往日！姑爺就別勸小姐喝了吧！ \n許　仙：小姐今日為何就不能喝酒呢？有什麼特別的理由？ \n小　青：小姐身體不舒服啊，再說，她肚子裡還有小少爺呢。 \n許　仙：說得也是。只是胎兒出生的日子還早，喝幾杯淡酒，應該不會對胎兒有什麼影響。對啊，青兒妳也辛苦了，妳也喝一杯吧！ \n小　青：謝謝姑爺，您知道我從不喝酒的。 \n許　仙：既然如此，妳就下去歇息去吧。 \n小　青：不行，我要服侍小姐。 \n許　仙：小姐有我服侍，你下去吧。 \n白素貞：青兒，妳就放心下去吧。 \n
法　海：哈哈哈哈，許仙來呀！阿彌陀佛！\n,法　海：哈哈哈哈，許仙來呀！阿彌陀佛！\n白素貞：急忙搖著小船，\n白素貞：妹妹！\n小　青：姐姐。\n白素貞：想當日與相公在湖上相逢，如此恩愛，怎麼知道他今日卻相信法海的話，輕易將我拋棄，讓我的心好苦哇！\n小　青：姐姐，事到如今，不用傷感了，快到金山，找法海算帳吧！\n白素貞：催促著船快快行駛！哪裡顧得了長江的波浪高。那和尚嫉妒我倆恩愛，誘騙相公把我拋棄。相公一去三日，無音訊，活活斬斷我倆的夫妻之情。望著金山我不由得怨恨，青兒與我搖著船槳。瞬間拔出寶劍，只要拿住了這和尚，絕對不饒過他！\n法海站在金山寺門外斷崖上，白素貞、小青在斷崖下與法海對話。\n法海：「妖魔，妳還敢來這裡做什麼!」\n白素貞：「請放我的丈夫許仙，讓我們一同回去。」\n法海：「許仙不在這裡，去別的地方找他吧！」\n白素貞：「求您放他出來，讓我們夫妻團聚。」\n法海：「你的丈夫已經當和尚了，不能跟你回去。」\n白素貞：「我們夫妻恩愛，已立下山盟海誓，您怎麼忍心拆散恩愛夫妻?請您釋放我的丈夫，我們不會忘記您的恩惠。」\n法海：「許仙本是高僧轉世，怎麼能和妳這個妖魔成為夫妻?勸妳趕快離開，不然立刻取妳性命!」\n小青：「法海，聽你說話讓我怒髮衝冠!我家小姐和許仙夫唱婦隨，你卻拆散一對恩愛夫妻!趕快放了許仙，我就饒你一命，不然我會讓長江水漲!」 \n白素貞：「小青！不可以沒禮貌！請禪師海量包涵小青本性直率，也請可憐我已經懷了九個月的身孕，請您大發慈悲放回我的丈夫。」\n法海：「妳真是癡心妄想，要見許仙，除非長江倒流!人世間容不下妳們這些害人的孽障!我本著菩提心誓要保衛善良。」 \n白素貞：「想我白素貞當初在江南救貧活命數千條性命，人人歌頌白娘娘。你口才是害人孽障，害得我們夫妻各分東西!」\n法海：「看我的青龍禪杖，讓妳們這些妖魔不再逞強!」\n
白素貞：妹妹！\n,白素貞：妹妹！\n小　青：姐姐。\n白素貞：想當日與相公在湖上相逢，如此恩愛，怎麼知道他今日卻相信法海的話，輕易將我拋棄，讓我的心好苦哇！\n小　青：姐姐，事到如今，不用傷感了，快到金山，找法海算帳吧！\n白素貞：催促著船快快行駛！哪裡顧得了長江的波浪高。那和尚嫉妒我倆恩愛，誘騙相公把我拋棄。相公一去三日，無音訊，活活斬斷我倆的夫妻之情。望著金山我不由得怨恨，青兒與我搖著船槳。瞬間拔出寶劍，只要拿住了這和尚，絕對不饒過他！\n法海站在金山寺門外斷崖上，白素貞、小青在斷崖下與法海對話。\n法海：「妖魔，妳還敢來這裡做什麼!」\n白素貞：「請放我的丈夫許仙，讓我們一同回去。」\n法海：「許仙不在這裡，去別的地方找他吧！」\n白素貞：「求您放他出來，讓我們夫妻團聚。」\n法海：「你的丈夫已經當和尚了，不能跟你回去。」\n白素貞：「我們夫妻恩愛，已立下山盟海誓，您怎麼忍心拆散恩愛夫妻?請您釋放我的丈夫，我們不會忘記您的恩惠。」\n法海：「許仙本是高僧轉世，怎麼能和妳這個妖魔成為夫妻?勸妳趕快離開，不然立刻取妳性命!」\n小青：「法海，聽你說話讓我怒髮衝冠!我家小姐和許仙夫唱婦隨，你卻拆散一對恩愛夫妻!趕快放了許仙，我就饒你一命，不然我會讓長江水漲!」 \n白素貞：「小青！不可以沒禮貌！請禪師海量包涵小青本性直率，也請可憐我已經懷了九個月的身孕，請您大發慈悲放回我的丈夫。」\n法海：「妳真是癡心妄想，要見許仙，除非長江倒流!人世間容不下妳們這些害人的孽障!我本著菩提心誓要保衛善良。」 \n白素貞：「想我白素貞當初在江南救貧活命數千條性命，人人歌頌白娘娘。你口才是害人孽障，害得我們夫妻各分東西!」\n法海：「看我的青龍禪杖，讓妳們這些妖魔不再逞強!」\n白素貞：「即使你有法力高強的青龍禪杖，怎敵得過宇宙間的情理昭彰。」\n小青：「姐姐，不要再求法海了，我們一起大鬧金山寺!不怕法海不放人!」\n
這時，許仙彷彿聽到白素貞的呼喚。\n,這時，許仙彷彿聽到白素貞的呼喚。\n白素貞：「許仙，你在哪裡? 」\n許仙：「哎呀!娘子，我在這裡！小師父啊!您怎麼忍心讓我的妻子苦苦呼喚我?」 \n小沙彌：「你先別急，我聽到打鬥的聲音越來越遠，一定是你的妻子戰敗逃走了！」\n許仙：「那我要趕快去找她，拜託您放我出去，我給您跪下了！」 \n小沙彌：「好吧，好吧，你別著急，趁師父還沒回來，我放你逃下山去。」\n許仙：「謝謝小師父！」\n小沙彌：「許官人你跟著我，你往那邊走!趕快!你快走！」\n小沙彌：「哎呀，我放了許仙，師父知道了，一定會打我的!我也趕快逃走吧!」\n小沙彌引導許仙離開。\n於是，許仙從金山寺溜走。\n白素貞：啊！狠心的丈夫！ \n小 青：姊姊怎麼樣了？ \n白素貞：肚子痛，連走路都有困難，怎麼辦？ \n小 青：應該是快要生小孩了，先暫時到前面的那座橋旁邊，稍微休息一下，再來想想辦法吧。 \n白素貞：事情到了今日的地步，只好這樣了。 \n白素貞：妹妹，這不是斷橋嗎？ \n小 青：是啊！ \n白素貞：哎呀！斷橋啊！從前和許郎在雨中見面，也曾經經過這座橋，直到現在這座橋都沒有斷掉，可是我卻是柔腸寸斷了！     \n小 青：這種負心的人，小青很早就勸告姐姐要拋棄他，姐姐不接受。現在卻害姐姐在懷孕的時候，生活困難，沒有安身的地方，我如果再見到許仙，一定不會饒他！ \n
小　青：下雨了，我們快走吧，姊姊。\n,小　青：下雨了，我們快走吧，姊姊。\n白素貞：走吧！但為何我的心臟撲通撲通地跳？\n（許仙在風雨中撐傘走過來。）\n許　仙：才剛掃完墓，正要回家突然颳起風雨，正趕時間呢，該如何是好？\n小　青：姊姊，雨下得很大，就在柳下躲避一陣子吧。\n白素貞：也好。\n許　仙：柳樹下怎麼能避雨呢？二位娘子要往哪裡去？\n小　青：我們二人在湖中遊逛，沒想到中途遇到大雨。我們準備要回錢塘門去，請問君子您要去哪兒呢？\n許　仙：我要到清波門去。雨這麼大，柳樹下怎能避得了雨？我這把雨傘就借給你們吧。\n白素貞：那你怎麼辦呢？\n許　仙：我嗎？我不要緊的。\n白素貞：這怎麼可以？\n許　仙：雨越下越大，兩位娘子不要推辭，我去叫船。\n白素貞：好吧，謝謝您！\n許　仙：這沒什麼。\n（船夫划船靠近。） \n許　仙：喂，船家！ \n船　夫：客人要搭船嗎？\n許　仙：正是。\n船　夫：你們要去哪兒啊？\n
