網路平台超暖心！ 20年山區巡迴醫療車終可換新,http://news.ltn.com.tw/news/life/breakingnews/2292861,泰雅原民醫師高揚威（右2）順利完成募款，明年初可望把這輛用了近20年的巡迴醫療車汰舊換新。（記者李容萍攝）\n2017-12-25 00:07\n〔記者李容萍／桃園報導〕桃園市復興區泰雅原民醫師高揚威深耕原鄉部落醫療30多年，守護部落居民健康，甫獲得第27屆醫療奉獻獎肯定，最近他在flyingV群眾募資平台，以「偏遠部落醫療《讓距離不再是距離》 讓愛走更遠，巡診車募資計劃」提案，短短14天集資達成超過250萬元的目標，明年可望把這輛用了近20年因山地彎路、路線輾轉、坑漥路段耗損的巡迴醫療車汰舊換新。\n近20年的巡迴醫療車汰舊換新。（記者李容萍攝）\n復興區住籍人口有1萬1000人，概分為前山7村後山3村， 後山3村除下巴陵醫療站沒有任何醫療院所，極需巡迴醫療服務，補足醫療真空；公費醫師制度出身的高揚威，白天在診所看，下午2、3點過後就由司機賴文明開著這輛車身泛白字樣寫著「高揚威家醫科診所巡迴醫療車」上山到部落服務，同行的還有賴的護理師妻子曾秀花和藥師陳怡君。\n因為投入山區巡回醫療服務和居家醫療照護行列，近20年醫療車穿梭山區部落累計已開了45萬公里，到部落幫獨居長者換藥、給藥，因醫療車過度老舊、經常故障很困擾，曾經發生車門掉落，後車門掀起藥品散落一地的窘境，為了診所員工安全，高揚威11月在網路flyingV群眾募資平台展開募資。\n高揚威說，很多人認為團隊成員冒著雨吹日曬雨淋、甚至落石也要辛苦巡診，做居家醫療更是公益事，他很感謝能依合法募資平台，順利集眾人小額捐款募款汰舊換車，能讓巡診得以長久持續，也讓偏遠山區部落少有的醫療照護，不會再因為老舊車的故障而中斷。
胡，怎麼說》吃狗屎的是...豬隊友！,http://talk.ltn.com.tw/article/breakingnews/2292852,這個政府的豬隊友，還真不少！\n內政部役政署長林國演被爆要硬闖成功嶺軍事營區，署長座車司機還飆罵衛哨兵「你們都是吃狗屎的！」此事爆開後引發譁然。\n問題出在署長司機罵人，但更在車上那位大官的態度，結果呢？罵人的司機被調職處分外，出來道歉的竟是「役政署」這個衙門，而不是「役政署長林國濱」，那麼，錯的就是衙門，而不是大官囉？但「役政署」又怎麼會闖哨？這簡直荒唐。\n事情爆發後，林國演稱「內政部又不是國防管的」云云，一副要抬出內政部跟國防部「比大小」的樣子，我們不管內政部、國防部怎麼比大小，但無論如何也不能把氣出在衛哨兵身上！\n役政署長林國演被爆要硬闖成功嶺軍事營區，座車司機還飆罵衛哨兵「你們都是吃狗屎的！就此事件來看，吃狗屎的，應該是大官才對吧！（資料照，記者廖振輝攝）\n\n衛哨兵值勤的要求，都是依衛哨守則，而且上級怎麼命令就怎麼做，就此事件來看，成功嶺104旅那個衛哨所攔下署長座車、驗證並沒有錯。何況他們都是我們的子弟，當然不是吃狗屎的，也不能被罵吃狗屎的。就此事件來看，吃狗屎的，應該是大官才對吧！\n順便一提的是，上週5勞團遊行，入夜後變調走樣失控，部分激進勞團及插花團體，占據、癱瘓北市西區多條交通幹道，直到週6凌晨近2時才排除，數千員警忙翻累翻、23位因公受傷，以萬計的小市民夜間被堵在路上數小時，怨聲載道。\n上週5勞團遊行，入夜後變調走樣失控，除了遊行主事者的責任外，台北市長柯文哲的態度也是關鍵。（資料照，記者黃耀徵攝）\n\n此事搞成這樣，除了遊行主事者的責任外，台北市長柯文哲的態度也是關鍵，若決策者對陳抗可能失控白目，甚至寧可「已讀不回」，直至民怨之火燒到自己，近午夜才緊急下令排除，那他最應檢討的就是自己。\n記得嗎？8月19日夜世大運開幕，反年改團體來亂，各國選手差點進場不成，柯P次日大罵那些亂世大運的「王八蛋！」。難道亂世大運與亂交通，陳抗失控的處理態度有雙重標準？
校園異味擋不住？大同國中發口罩上課,http://news.ltn.com.tw/news/life/breakingnews/2292856,國興飼料，生產飼料時疑似產生惡臭，引起鄰近校園與住宅區空氣品質不佳。（記者陳冠備攝）\n2017-12-24 23:43\n〔記者陳冠備／彰化報導〕員林市大同國中校園裡經常出現一股猶如飼料的腥臭味，味道令人作噁，校方為顧慮師生上課品質，免費提供口罩使用，近日有學生受不了，出現大量申請的現象。校方澄清，校園飄異味與鄰近飼料廠排廢氣有關，已要求改善，最近天氣溫差大，容易引發支氣管相關疾病，所以申請口罩學生人數才增多。\n飼料廠表示，煙囪冒出的煙為蒸氣，環保數據皆為正常值，不屬於PM2.5。（記者陳冠備攝）\n大同國中校園經常飄出惡臭，有學生受不了，只好戴口罩上課。（記者陳冠備攝）\n大同國中校長施純在指出，大同國中校園飄異味，原因多半來自於僅隔兩條街的國興飼料廠，每當生產飼料排出廢氣時，空氣的確不好聞，但近年附近大樓築起，意外擋住臭味，不過偶而還是有學生表示不舒服，為此校方去年行文彰化縣環保局請廠方處理，廠方兩次派人到校解釋，表示煙囪冒出的煙為蒸氣，並提出環保署相關數據，皆為正常值，不屬於PM2.5。\n施純在表示，學校配合空品旗實施制度，每天早上、中午，廣播當天的空污指數狀況，檢視是否可從事戶外活動，而為讓每位學生保有健康身體，兩年前健康中心擴增4000份口罩供應學生使用，不是針對空氣有惡臭才準備。\n健康中心黃護理師表示，9月開學之初，可能風向關係校園時不時傳來一股腥臭味，1天約有數十位學生因為空氣惡臭問題還申請口罩，不過近1、2個月來1天只剩1、2位申請，其他多半是因為天氣冷引起發燒，或是過敏問題來申請。\n泰山企業中區管理課課長蔡振聲表示，泰山企業在2年前將員林廠承租給國興飼料公司使用，該廠生產雞、豬飼料為主，原料多為玉米、黃豆粉，對人體並無害，生產飼料過程中蒸氣揮發偶有飄散異味，公司本身已做了配方改善及廢棄物封閉性處置，下個月還會接受環保局稽查。\n蔡振聲說，國興飼料廠最快明年6月至12月將遷廠至雲林，屆時該地不再生產飼料，將做為倉儲使用，敬請民眾諒解。
6噸大豆腐！「豆腐小鎮」破世界紀錄盼助貧困家庭,http://news.ltn.com.tw/news/world/breakingnews/2292838,2017-12-24 23:42\n〔即時新聞／綜合報導〕中國江西省新泉鄉有「豆腐小鎮」美稱，昨日（23）當地74名村民共同製作，耗費16小時，完成長寬都是388公分、高25公分、重達6噸的豆腐，成功打破金氏世界紀錄，成為世界上最大豆腐。\n「豆腐小鎮」新泉鄉製作出長、寬都是388公分、高25公分、重達6噸的巨型豆腐，打破世界紀錄。（圖截自人民網）\n綜合中媒報導，巨型豆腐的製作團隊曾在12月11日試做1次，卻不幸失敗，他們決定改日再戰，選定22日開始磨將近2公噸的黃豆，經過16小時終於做出巨型豆腐。製作團隊製作的初衷，是為幫助新泉鄉的貧困家庭，販賣所有豆腐前收到的訂金，將全部捐助貧困家庭，及父母在外地工作的留守兒童。\n上海大世界基尼斯到現場測量，豆腐長388公分、寬388公分、高25公分，獲得金氏世界紀錄認證，成為世界上最大的豆腐。據《金氏世界紀錄》網站，先前最大豆腐的紀錄保持者，也是由中國獲得。2003年9月28日在四川省江門關製造出高22公分、長120公分、寬90公分的大豆腐。\n江西省蘆溪縣的新泉鄉不僅自然環境優美，也被譽為江西的美食之鄉。「豆腐小鎮」新泉鄉因盛產石磨豆腐聞名，其豆腐潔白如玉、軟滑細嫩，直到今日，新泉鄉內數十家仍遵循傳統做法的豆腐小舖。
23:14 阿里山規模4.1地震 古坑震度4級,http://news.ltn.com.tw/news/life/breakingnews/2292858,嘉義縣阿里山鄉晚間11時14分發生規模4.1地震。（圖擷取自中央氣象局）\n2017-12-24 23:31\n〔即時新聞／綜合報導〕地牛翻身！嘉義縣阿里山鄉週日（24日）晚間11時14分發生規模4.1地震，深度17公里，最大震度為雲林縣古坑4級。\n根據中央氣象局地震報告顯示，這起地震震央位在嘉義縣政府東偏北方47.3公里。\n各地震度方面，最大震度為雲林古坑4級，草嶺3級，斗六、四湖2級，嘉義市、阿里山、南投名間、台中霧峰、彰化大城、員林以及彰化市2級。
平安夜應景 台北街道出現耶誕重機車隊,http://news.ltn.com.tw/news/life/breakingnews/2292845,2017-12-24 23:28\n〔即時新聞／綜合報導〕今（24）日為西洋平安夜，可看見世界各地部分民眾為此慶祝，台北市街頭一整天下來，可看見裝飾成耶誕老人的重機車隊在各區穿梭，讓路過民眾感到相當新鮮，PO網引起話題。\n台北市街頭一整天下來，可看見裝飾成耶誕老人的重機車隊在各區穿梭。（圖擷取自影片）\n許多頭戴安全帽，扮成耶誕老人的重機騎士，穿梭在台北市士林區、信義區、大安區街道上。（圖擷取自影片）\n許多網友看完影片後，都感到相當新奇，紛紛留言指出，「好可愛」。（圖擷取自爆料公社）\n民眾將影片PO至臉書社團「爆料公社」，從影片中能夠清楚看見，許多頭戴安全帽，扮成耶誕老人的重機騎士，穿梭在台北市士林區、信義區、大安區街道上，搭配路邊店家擺設的耶誕裝飾燈條、耶誕樹，顯得相當應景，也成功吸引路過民眾目光。\n許多網友看完影片後，都感到相當新奇，紛紛留言指出，「好可愛」、「太酷了」、「今天看到這畫面真的覺得很驚喜欸」、「第一次覺得這麼有過節氣氛」、「我家小孩一直看」，也有網友指出，「這些重機騎士都很有秩序，令人刮目相看」。\n相關影音
全球首例！俄男在家玩VR不慎跌倒 遭玻璃劃傷致死,http://news.ltn.com.tw/news/world/breakingnews/2292847,2017-12-24 23:24\n〔即時新聞／綜合報導〕一名44歲俄羅斯男子在家中使用VR頭套時，不小心跌倒並遭到玻璃割傷，最終因失血過多而死。這可能是全球首次使用VR致死的案例。\n一名44歲俄羅斯男子在家中使用VR頭套時，不小心跌倒並遭到玻璃割傷，最終因失血過多而死。圖為示意圖，與當事人無關。（路透）\n俄國《塔斯社》報導，男子被母親發現陳屍在自家中，死亡時還戴著VR設備。警方調查指出，死者疑似一邊使用VR裝置，一邊在家中走動，並做了一些較大的動作，結果不小心摔倒並撞碎玻璃桌，遭碎片劃破動脈，失血過多身亡。\n目前不清楚死者配戴的VR機型，以及事故發生時使用的軟體。報導指出，這可能是全球第一起使用VR而導致的命案，呼籲VR玩家在使用時仍要注意周遭安全。
小林依晨曬「男友視角裸背」 赴日爽休聖誕假期,http://ent.ltn.com.tw/news/breakingnews/2292855,小林依晨曬「男友視角裸背」 赴日爽休聖誕假期\n2017/12/24 23:23\n〔記者吳琬婷／台北報導〕女星安于晴因氣質外貌神似林依晨，有「小林依晨」的封號，她前陣子3個月趕拍3部影視作品，好不容易年底有幾天假期，立刻動身前往日本歡度聖誕節，還大曬全裸泡溫泉的美背照，男友視角更引人遐想，至於掌鏡人是誰，她笑回：「唉，是我很不會拍照的女性閨密啦！」\n這次的日本行安于晴除了泡溫泉外，也大吃當地美食，一行人在寒冬中排了一小時的隊才品嚐到入口即化的神戶牛肉，她說：「其實因為拍戲，所以我原本打算吃健康素，但這牛肉實在太誘人了，我也忍不住破戒。」\n除此之外，安于晴與閨蜜們還去了大阪最有名的餃子店「王將」用餐，還意外被老闆認出來，後來才發現，原來是老闆看過她之前跟AKB48前成員藤江麗奈合作的電影《恐怖的中身》，她笑說：「沒想到竟被老闆認出來，還跟我要簽名，當下覺得很害羞，因為沒有想到會被認出。」\n安于晴曬出男友視角的泡溫泉裸背照。（海王天璽提供）\n安于晴開心赴日休聖誕假期。（海王天璽提供）\n安于晴開心赴日休聖誕假期。（海王天璽提供）\n新聞送上來！ 快加入APP、LINE好友\niOS\nAndroid\nAPP下載\nLINE好友\n相關新聞
混血男星衰鬼出運 娶台灣妹晉升寶島女婿,http://ent.ltn.com.tw/news/breakingnews/2292854,混血男星衰鬼出運 娶台灣妹晉升寶島女婿\n2017/12/24 23:22\n〔記者吳琬婷／台北報導〕新加坡和越南混血的男星梁煒鈿星途浮沈多年，近來終於被導演相中，在國片《編號174：錯命逆行》首度登上大銀幕，而他不僅在工作上星運開，感情方面也開花結果，在上月光棍節時迎娶台灣圈外女友，晉升為台灣女婿，讓他直呼：「現在我不是衰鬼了！」\n梁煒鈿在新片中飾演倒楣事層出不窮的衰鬼，他表示劇本讓他心有戚戚焉，他透露，曾在赴韓讀書時被相中當模特兒，但當時因持學生簽證而無法工作，之後他又在南韓當了3年演藝練習生，原本有部電影找上他拍攝，卻又在開拍前臨時換角，演藝之路打擊連連，直到他來台參加名模大賽獲冠軍，星途才開始再度起步。\n梁煒鈿上月與台灣女友結婚，晉升為台灣女婿。（飛行圓國際提供）\n梁煒鈿上月與台灣女友結婚，晉升為台灣女婿。（飛行圓國際提供）\n新聞送上來！ 快加入APP、LINE好友\niOS\nAndroid\nAPP下載\nLINE好友\n相關新聞
劉明湘約關詩敏隨手拍 竟成專輯封面照,http://ent.ltn.com.tw/news/breakingnews/2292843,劉明湘約關詩敏隨手拍 竟成專輯封面照\n2017/12/24 23:22\n〔記者王心妤／台北報導〕劉明湘與好友關詩敏特別組成「湘關組合」，攜手玩音樂，沒想到玩出名堂創出應景聖誕歌《By The Mistletoe》。兩個女孩都在美國長大，對聖誕節特別有感覺，去年兩人去唱婚禮時，看到銀色聖誕樹，請經紀人拍下合照，沒想到這張就變成聖誕EP的封面照。\n對劉明湘來說，因為媽媽跟弟弟特別飛來，一家人睽違7年一起過節，讓劉明湘非常感動。而該EP的製作人劉偉德也在本月舉辦婚禮，只花了2天就要完成錄製，連新娘都到場幫忙拍攝。這次也邀請小提琴才子廖柏雅為《Silent Night》，就讓劉明湘和好友們的天籟音符陪伴大家迎接溫暖的聖誕氣息吧！\n劉明湘與關詩敏在銀色聖誕樹前合影。（海蝶音樂提供）\n劉明湘與關詩敏在銀色聖誕樹前合影。（海蝶音樂提供）\n新聞送上來！ 快加入APP、LINE好友\niOS\nAndroid\nAPP下載\nLINE好友\n相關新聞
